dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,pop
2021-04-21 21:00:00,10.11,8.69,1014,58,2.23,0.0,0,10000,1.85,223,2.19,0.42
2021-04-21 22:00:00,9.88,9.59,1014,62,2.95,0.0,10,10000,1.43,275,1.71,0.42
2021-04-21 23:00:00,9.49,9.22,1014,66,3.46,0.0,22,10000,1.36,295,1.59,0.48
2021-04-22 00:00:00,8.88,8.5,1015,71,3.92,0.0,32,10000,1.39,300,1.57,0.38
2021-04-22 01:00:00,8.09,7.47,1015,78,4.49,0.0,25,10000,1.5,308,1.59,0.26
2021-04-22 02:00:00,7.32,6.44,1015,85,4.93,0.0,31,10000,1.63,319,1.68,0.22
2021-04-22 03:00:00,7.32,6.25,1015,86,5.13,0.0,41,10000,1.81,317,1.83,0.19
2021-04-22 04:00:00,7.03,5.74,1015,87,5.09,0.0,48,10000,1.99,312,1.92,0.15
2021-04-22 05:00:00,8.09,6.7,1016,85,5.62,0.22,55,10000,2.32,303,5.19,0.13
2021-04-22 06:00:00,9.85,8.06,1016,76,5.89,0.74,56,10000,3.49,313,6.91,0.06
2021-04-22 07:00:00,11.45,10.4,1017,67,5.48,1.25,77,10000,4.41,318,6.72,0.0
2021-04-22 08:00:00,12.43,11.35,1017,62,5.38,2.17,86,10000,5.22,321,6.51,0.0
2021-04-22 09:00:00,13.04,11.99,1018,61,5.64,3.1,90,10000,5.85,326,6.77,0.02
2021-04-22 10:00:00,13.25,12.25,1018,62,6.1,1.49,92,10000,6.29,331,6.96,0.09
2021-04-22 11:00:00,11.35,10.32,1019,68,5.56,1.57,94,10000,7.03,343,7.62,0.11
2021-04-22 12:00:00,10.23,9.08,1019,68,4.61,1.44,95,10000,6.04,339,8.61,0.13
2021-04-22 13:00:00,9.98,7.27,1019,64,3.39,2.93,100,10000,5.84,326,9.09,0.17
2021-04-22 14:00:00,10.02,8.67,1019,61,2.71,1.97,100,10000,5.45,319,9.02,0.25
2021-04-22 15:00:00,11.13,9.58,1019,49,0.53,1.07,100,10000,4.31,315,7.57,0.18
2021-04-22 16:00:00,10.8,9.27,1019,51,1.14,0.45,100,10000,3.7,321,6.91,0.1
2021-04-22 17:00:00,9.35,7.98,1019,58,1.43,0.12,100,10000,2.61,326,5.88,0.1
2021-04-22 18:00:00,7.39,6.16,1020,60,0.2,0.0,100,10000,1.99,329,2.2,0.1
2021-04-22 19:00:00,6.37,5.1,1021,60,-0.81,0.0,86,10000,1.86,323,1.84,0.0
2021-04-22 20:00:00,5.45,3.54,1022,62,-1.3,0.0,50,10000,2.38,315,3.29,0.0
2021-04-22 21:00:00,4.75,2.63,1022,65,-1.28,0.0,41,10000,2.47,315,2.85,0.0
2021-04-22 22:00:00,4.33,2.25,1023,67,-1.32,0.0,50,10000,2.34,308,2.65,0.0
2021-04-22 23:00:00,4.13,1.88,1023,67,-1.36,0.0,56,10000,2.49,299,2.99,0.0
2021-04-23 00:00:00,3.47,0.9,1023,70,-1.36,0.0,57,10000,2.71,291,3.74,0.0
2021-04-23 01:00:00,2.86,0.13,1024,74,-1.28,0.0,53,10000,2.76,295,4.19,0.0
2021-04-23 02:00:00,2.37,-0.5,1024,78,-1.13,0.0,55,10000,2.82,292,4.6,0.0
2021-04-23 03:00:00,2.02,-1.02,1024,80,-1.08,0.0,50,10000,2.94,294,4.92,0.0
2021-04-23 04:00:00,1.55,-1.46,1025,84,-1.0,0.0,41,10000,2.79,295,4.55,0.0
2021-04-23 05:00:00,2.92,0.35,1025,79,-0.35,0.22,35,10000,2.6,300,8.35,0.0
2021-04-23 06:00:00,5.37,2.14,1025,70,0.28,0.71,30,10000,4.32,311,9.55,0.0
2021-04-23 07:00:00,7.26,3.98,1025,63,0.65,1.55,7,10000,5.43,316,8.86,0.0
2021-04-23 08:00:00,8.82,5.73,1025,56,0.54,2.67,7,10000,6.05,317,9.11,0.0
2021-04-23 09:00:00,10.12,8.52,1025,51,0.43,3.79,8,10000,6.42,312,9.16,0.0
2021-04-23 10:00:00,11.44,9.81,1025,45,0.02,4.02,15,10000,6.15,310,9.19,0.0
2021-04-23 11:00:00,12.51,10.89,1024,41,-0.25,4.23,24,10000,6.48,311,9.72,0.0
2021-04-23 12:00:00,13.28,11.68,1024,39,-0.45,3.88,32,10000,6.52,313,9.97,0.0
2021-04-23 13:00:00,13.62,12.03,1023,38,-0.35,3.19,70,10000,6.71,319,10.11,0.0
2021-04-23 14:00:00,13.63,12.07,1023,39,-0.07,2.14,67,10000,6.69,325,10.4,0.0
2021-04-23 15:00:00,13.56,12.09,1023,43,1.41,1.18,64,10000,6.0,328,10.16,0.0
2021-04-23 16:00:00,12.77,11.33,1023,47,1.87,0.55,54,10000,5.08,332,9.14,0.0
2021-04-23 17:00:00,10.74,9.28,1023,54,1.9,0.15,45,10000,3.91,340,8.19,0.0
2021-04-23 18:00:00,7.93,5.92,1024,60,0.57,0.0,38,10000,3.16,347,4.74,0.0
2021-04-23 19:00:00,6.33,4.46,1026,64,0.14,0.0,7,10000,2.52,353,2.81,0.0
2021-04-23 20:00:00,5.35,4.11,1026,68,-0.18,0.0,7,10000,1.69,345,1.79,0.0
